Complexity,Loss,Equation
1,0.6055212,"x2"
2,0.40287244,"exp(0.042508803)"
3,0.26005533,"2.125973 * x2"
4,0.25422102,"exp(x2 - x3)"
5,0.19455093,"(x0 * 0.14908908) + x2"
6,0.110460564,"exp((x0 - x1) * 0.1707819)"
7,0.08690805,"x2 + (x0 / (2.756307 + x1))"
9,0.047873914,"((0.19077094 * (x0 - x1)) + x2) - -0.55705607"
11,0.042425625,"((((1.3761119 * x0) - x1) * 0.16010857) + x2) + 0.33392134"
12,0.03565506,"x2 + ((exp(x2) + (x0 - (x1 * 0.74912393))) * 0.22142397)"
14,0.03391711,"(((exp(0.4973527 + x2) + (1.2557169 * x0)) - x1) * 0.16010857) + x2"
15,0.029774068,"(((((1.2557169 * x0) * (0.4973527 + x2)) - x1) * 0.16010857) + x2) + 0.44404513"
17,0.026456684,"(((((1.2557169 * x0) * (0.4973527 + x2)) - (x1 - x3)) * 0.16010857) + x2) + 0.33392134"
20,0.026115308,"(((((1.2557169 * (x0 * 0.47578317)) * (0.47578317 + exp(x2))) - (x1 + -0.412101)) * 0.16010857) + x2) + 0.33392134"
